,city,name,phone,state,streetAddress,zipcode
116,Dahlonega,Dahlonega Care Center,706-867-7452,Georgia,353 N. Grove St.,30533
117,Dahlonega,Community Helping Place,706-864-8828,Georgia,2030 Hwy. 19 N. Ste. 2030,30533
118,Dahlonega,Under the Bridge Ministries at King's Highway Worship Center,706) 201-9505,Georgia,523 Ben Higgins Road,30533
119,Dahlonega,Community Helping Place ,706-867-9621,Georgia,1127 Highway 52 East,30533
120,Cumming,The Place of Forsyth Co Inc,(770) 887-1098,Georgia,2550 The Place Circle,30040
121,Cumming,Place of Forsyth County,770-887-1098,Georgia,2550 The Place Cir.,30040
122,Cumming,Ninth District Opportunity,770-889-9420,Georgia,133 Samaritan Dr. Ste. 202,30040
123,Cumming,Abba House,678-208-2000,Georgia,6800 Dahlonega Hwy.,30028
124,Cumming,Cumming First United Methodist Church Food Pantry,770-887-2900,Georgia,770 Canton Highway,30040
125,Cumming,First Christian Church of Cumming,770-887-5542,Georgia,1270 Sawnee Dr.,30040
126,Cumming,Meals by Grace,404-426-4055,Georgia,537 Lake Center Parkway #549,30040
127,Dallas,Helping Hands of Paulding,770-443-1230,Georgia,240 Professional Ct.,30132
128,Dallas,Helping Hands of Paulding County,(770) 443-1230,Georgia,228 west spring street,30132
129,Dallas,Lighthouse Food Pantry Dallas Ga,678-363-7470,Georgia,294 White/Ingram Parkway,30132
130,Decatur,Sarah's Closest & Food Pantry,770-593-3282,Georgia,5285 Flat Shoals Parkway,30034
131,Decatur,St Peter and Paul Catholic Church,404-241-5862,Georgia,2560 Tilson Rd.,30032
132,Decatur,Hillside Presbyterian Church,404-289-3092,Georgia,1879 Columbia Dr.,30032
133,Decatur,Greenforest Social Ministry,404-486-6771,Georgia,3260 Rainbow Dr.,30034
134,Decatur,Greater Fellowship Outreach and Development Services,770-855-9719,Georgia,3074 Rainbow Dr.,30034
135,Decatur,Episcopal Church of the Holy Cross,404-284-1211,Georgia,2005 S. Columbia Pl.,30032
136,Decatur,Decatur Area Emergency Assistance Ministry/DEAM,404-373-2300,Georgia,515 E. Ponce de Leon Ave,30030
137,Decatur,Columbia Drive United Methodist Church,404-284-4151,Georgia,2067 Columbia Dr.,30032
138,Decatur,Will of the Father Ministries,404-381-6110,Georgia,2962 Ember Dr. Ste. 103,30034
139,Decatur,Peace on the MOVE - Feed the NEED,347 309-7686,Georgia,4000 Covington Hwy,30032
140,Dawsonville,RIC-Rack - Food Bank,706-265-1045,Georgia,829 Hwy 9 N.,30534
141,Douglas,Concerted Services - Coffee County Service Center,912-285-6083,Georgia,1115 W. Baker Hwy.,31533
142,Douglasville,Warehouse of Hope,770-489-0509,Georgia,100 Hunter Rd.,30134
143,Douglasville,The Pantry DC,(770) 217-0729,Georgia,9633 Hwy 5,30135
144,Duluth,CarePointe,678-812-4500,Georgia,1800 Satellite Boulevard,30097
145,Duluth,Duluth Cooperative Ministries - Hands of Christ,770-623-9563,Georgia,3395 Fox St.,30096
146,Douglasville,Good Samaritan Center,770-949-7335,Georgia,6768 W. Spring St.,30134
147,Douglasville,11th Hour Food Bank,(770) 485-4574,Georgia,2818 Fairburn Rd ,30135
148,East,"Fellowship of Faith Church, International",404-346-1162,Georgia,2553 Connally Dr.,30344
149,East,East Point First Mallalieu United Methodist Church,404-761-3183,Georgia,2651 Church St.,30344
150,East,East Point Church of the Nazarene,404-762-6417,Georgia,2736 Cheney St.,30344
151,East,Reaching Out 4 You ,(404) 889-4940,Georgia,1868 Washington rd ,30344
152,Ellenwood,County Line United Methodist Church,404-243-0363,Georgia,4031 Old River Rd.,30294
153,Eatonton,Putnam Jasper Support Services,(706) 485-8391,Georgia,149 Sara Lee Dr. NW,31024
154,Eatonton,Putnam Life Source,(706) 484-1890,Georgia,864 Harmony Road,31024
155,Eatonton,Putnam Christian Outreach,706-485-4066,Georgia,151 Industrial Blvd,31024
156,Elberton,Salvation Army Elberton,(706) 283-1804,Georgia,262 N McIntosh St,30635
157,Fairburn,New Horizons Ministries,770-306-0270,Georgia,81 W. Campbellton St.,30213
158,Fairburn,"In His G. R. E. A. T. Name Ministry, Inc",770-964-8364,Georgia,81 Dodd Street,30213
159,Fairburn,Feeding Ga Families / Fairburn Free Market,678-223-3663,Georgia,93 Howell Ave,30213
160,Fayetteville,New Beginnings Praise and Worship Center,770-460-1346,Georgia,1091 S. Jeff Davis Dr.,30215
161,Fayetteville,Fayette Samaritans,(770) 719-2707,Georgia,126 Hickory Rd.,30214
162,Fairmount,Concord Missionary Baptist Church,(706) 629-6957,Georgia,"9348 Fairmount Hwy SE, ",30139
163,Ellijay,Bread-N-Bowl,706-698-2620,Georgia,304 Southside Church Street,30540
164,Flowery,Rejoice Worship Center,678-316-5314,Georgia,5015 Cash Rd,30542
165,Flowery,The Lost Coin Food Pantry - Covenant Connections Church,(770) 965-6055,Georgia,5818 Atlanta Highway,30542
166,Forest,Samaritans Together for Clayton County,404-361-8848,Georgia,1000 Main St.,30297
167,Folkston,Concerted Services - Charlton County Service Center,(912) 496-2045,Georgia,1516 S. 3rd St Ste. A,31537
168,Gainesville,Northlake Baptist Church,770-536-7338,Georgia,4823 Thompson Bridge Rd.,30506
169,Gainesville,Joe's Place at Riverbend,770-287-1619,Georgia,1725 Cleveland Hwy.,30501
170,Gainesville,Good News at Noon Men's Shelter,770-503-1366,Georgia,979 Davis Street,30503
171,Gainesville,Chattahoochee Baptist Association,770-532-3371,Georgia,1220 McEver Rd. ,30504
172,Gainesville,Good Samaritan Food Pantry - Chattahoochee Baptist Association,770-532-3371,Georgia,1220 McEver Road,30504
173,Grovetown,New Hope Worship Center,(706) 868-6410,Georgia,715 S. Old Belair Road,30813
174,Grovetown,New Heights Community Church,(706) 863-0355,Georgia,5050 High Meadows Dr,30813
175,Grayson,Southeast Gwinnett Cooperative Ministry,770.985.5229 ,Georgia,55 Grayson Industrial ,30017
176,Hahira,Hahira Church of God,229-794-3887,Georgia,206 E. Stanfill St.,31632
177,Guyton,The Fillin' Station Food Pantry,912-772-4206,Georgia,301 Pine Street,31312
178,Hartwell,Ninth District Opportunity - Hart County Community Res,706-376-4150,Georgia,500 N. Richardson St.,30643
179,Hapeville,Family Life Ministries,404-761-6302,Georgia,612 College St,30344
180,Harlem,Old Union Baptist Church,706-631-2838,Georgia,6095 Old Union Road,30814
181,Hazlehurst,Concerted Services - Jeff Davis County Service Center,912-285-6083,Georgia,42 Jeff Davis St.,31539
182,Jackson,Christian Emergency Relief Foundation,770-504-9013,Georgia,307 E. Third St.,30233
183,Hinesville,The Heart of Christ,(912) 369-2352,Georgia,140 East MLK Jr. Dr.,31310
184,Hinesville,Mt. Zion Missionary Baptist Church,912-876-6464,Georgia,1370 Shaw Rd.,31313
185,Hephzibah,Strong Tower Christian Fellowship,(706) 737-6758,Georgia,2805 Wylds Road,Empty
186,Hinesville,Manna House Ministries,912-368-3660,Georgia,100 Commerce St.,31313
187,Hephzibah,Wildwood Christian Church,(706) 793-1413,Georgia,2627 Tobacco Rd,30815
188,Hephzibah,Liberty Baptist Church,(706) 724-3322,Georgia,1232 Anderson Ave,30901
189,Hephzibah,Outreach Christian Church,(706) 792-9972,Georgia,2664 Willis Foreman Rd,30815
190,Jasper,North Georgia Community Action,706-692-5644,Georgia,1344 Talking Rock Rd.,30143
191,Jesup,Concerted Services - Wayne County Service Center,(912) 427-7797,Georgia,409 S. Third Street,31545
192,Hiram,St. Stephen Orthodox Church,(770) 489-0010,Georgia,130 Holy Cross Path,30141
193,Hiram,Pelagie Foundation ,(800) 254-0118,Georgia,5745 Wendy Bagwell Parkway ,30141
194,Homerville,Slaveblock Ministries,912-487-5153,Georgia,94 E. Dame Ave,31634
195,Homerville,Concerted Services - Clinch County Service Center,912-285-6083,Georgia,20 S. College St Rm. 13,31634
196,Jefferson,The Food Bank at Jefferson First Baptist,706-367-8332,Georgia,246 Washington Street,30549
197,Lafayette,The Care Mission,706-638-3664,Georgia,105 North Chattanooga Street,30728
198,Lake,Place of Hope Inc,404-259-0780,Georgia,"5405 Jonesboro Road, ",30260
199,Kingsland,New Life Shops,912-576-2848,Georgia,440 S. Lee St.,31548
200,Kingsland,Lutheran Food Bank of Camden County,912-729-6085,Georgia,165 Camden Woods Pkwy. E,31548
201,Kingsland,Missions Camden,912-673-8663,Georgia,455 South Lee Street,31548
202,Jonesboro,Willie M. Simpson Evangelistic Ministries,770-756-9100,Georgia,737 Veterans Pkwy. Ste. 600,30238
203,Jonesboro,Strong Tower Church of God,770-472-0081,Georgia,9671 Thomas Rd.,30238
204,Jonesboro,Divine Faith Ministries International,770-603-0025,Georgia,9800 Tara Blvd,30238
205,Jonesboro,Faith In Christ Mission Outreach Center Food Pantry ,678-479-8028,Georgia,"696 Battle Creek Road, Suite A-B",30236
206,Jonesboro,Divine Faith Ministries Outreach,(770) 603-0025,Georgia,9800 Tara Blvd.,30236
207,Lawrenceville,Vision Academy Life Center,678-206-0688,Georgia,458 Chestnut St.,30045
208,Lawrenceville,New Life Fellowship - Bread of Life Food Ministries,(770) 513-1007,Georgia,990 Martins Chapel Rd.,30045
209,Lawrenceville,Lawrenceville Cooperative Ministry,(770) 339-7887,Georgia,176 Church St.,30046
210,Lawrenceville,Catedral De Fe Ministries - Cafe Community Center,(678) 755-9600,Georgia,269 Hurrican Shoals Rd NE,30046
211,Lawrenceville,The Quinn House,770-962-0470,Georgia,120 S. Perry St.,30046
212,Lawrenceville,Love Outreach Mission Hunger Relief,770 339-1916 ,Georgia,1294 Braselton Highway,30043
213,Lawrenceville,DBFA - Food Pantry,(770) 905-2866,Georgia,385 Born Street ,30046
214,Lawrenceville,"Madinah Food Pantry, Inc.",6784468737,Georgia,461 West Crogan Street,30046
215,Lilburn,Lilburn Cooperative Ministry,770-931-8333,Georgia,5329 Five Forks Trickum Rd.,30047
216,Lilburn,Peace House Food Services,770 291 0413,Georgia,2158 McDaniels Bridge Ct,30047
217,Lithia,Survivors Outreach Center,404-610-4541,Georgia,680 McPherson Rd # 39,30122
218,Lincolnton,Lincoln County Food Pantry,(706) 359-7838,Georgia,1066 Firetower Road,30817
219,Lincolnton,Pleasant Grove CME Church,706-359-1366,Georgia,2245 Augusta Hwy,30817
220,Lincolnton,Washington Wilkes Food Pantry,(706) 359-1638,Georgia,420 Jackson Street,30673
221,Lithonia,New Bethel AME Church,770-484-3350,Georgia,8350 Rockbridge Road,30058
222,Locust,Samaritan Outreach Ministries' Lazaruz Ministry,770-957-6220,Georgia,99 Martin Luther King Jr. Blvd (L.G. Griffin Rd),30248
223,Mableton,Family Life Restoration Center,770-944-1066,Georgia,6105 Mableton Pkwy.,30126
224,Lyons,Southeast Georgia Communities Project Inc.,(912) 526-5451,Georgia,300 South State Street,30436
225,Louisville,Louisville Food Pantry,478-625-0890,Georgia,718 Nelms St,30434
226,Louisville,Mays Grove Baptist Church,706.547.0035,Georgia,1310 Mays Grove Road,30833
227,Marietta,Hollydale UMC Community Pantry,770-425-4324,Georgia,2364 Powder Springs Road SW,30064
228,Marietta,Turner Chapel AME Church,(770) 422-6791,Georgia,492 N. Marietta Pkwy.,30060
229,Marietta,Shepherd's House,(770) 792-0097,Georgia,186 Alexander Street,30060
230,Marietta,Schaffer Road Church of Christ Food Pantry,770-437-9047,Georgia,554 Schaffer Rd.,30060
231,Marietta,Greater Community Mission Centername and age of household members Pantry hours: 2nd and 3rd Saturday of the month: 10 am - 1 pm,770-425-4583,Georgia,406 Roswell St.,30060
232,Ludowici,Concerted Services - Long County Service Center,912-285-6083,Georgia,15 Thornton Dr.,31316
233,Marietta,Gateway Outreach Ministries,770-425-1788,Georgia,1951 Canton Rd. Suite 340,30066
234,Marietta,Center for Family Resources - Mansour Center,(770) 428-2601,Georgia,"995 Roswell St., NE Ste 100",30060
235,Marietta,Wright Street Baptist Church,770-422-5851,Georgia,395 Wright St.,30060
236,Marietta,Pleasant Grove Missionary Baptist Church - Light of Hope Com,770-428-3681 ex,Georgia,566 Whitlock Ave,30064
237,Marietta,Ministries United for Service and Training,770-427-9862,Georgia,1407 Cobb Pkwy.,30062
238,Marietta,Catholic Church of St. Ann,(770) 552-6400,Georgia,4905 Roswell Road,30062
239,Marietta,Maple Avenue UMC - Food Pantry,(770) 428-0471,Georgia,63 Maple Av.e.,30064
240,Mcdonough,Southern Crescent Resource Ministries,(770) 320-8200,Georgia,112 Park West Drive,30253
241,McDonough,House of Prayer Believers,770-954-1131,Georgia,1365 King Mill Rd,30253
242,McDonough,Hands of Christ Food Pantry,(470) 249-0853,Georgia,595 Macon Street,30253
243,Madison,Caring Place,706-342-9861,Georgia,1140 Monticello Rd. Ste. 400,30650
244,Madison,Caring for People Ministry,,Georgia,1140 Monticello Rd.,30650
245,Macon,Middle Georgia Community Food Bank,(478) 742-3958,Georgia,4490 Ocmulgee East Blvd,31217
246,Millen,Jenkins County Family Enrichment Center,478-982-8004,Georgia,527 Barney Ave,30442
247,Millen,Summerstand Outreach Church Inc,(706) 554-6147,Georgia,1038 Davis Bennett Road,30442
248,Martinez,Vineyard Church Augusta,(706) 863-9766,Georgia,3126 Parrish Road,30907
249,Monroe,Faith in Serving Humanity,(770) 207-4357,Georgia,700 South Madison Ave,30655
250,Morganton,Morganton Baptist Church,706-374-5100,Georgia,9511 Old Highway 76,30560
251,Metter,Concerted Services - Candler County Service Center,912-285-6083,Georgia,430 N. Roundtree St.,30439
252,Metter,Candler County Soup Kitchen,912-685-3858,Georgia,201 S. Leroy Street,30439
253,Monticello,Jasper County Community Food Bank,706-478-6076,Georgia,2171 Post Road,31064
254,Nahunta,Concerted Services - Brantley County Service Center,912-285-6083,Georgia,789 Burton St.,31553
255,Norcross,Norcross Cooperative Ministry,770-263-8268,Georgia,2275 Mitchell Rd.,30071
256,Oakwood,South Hall Community Food Pantry,(678) 865-6588,Georgia,4211 Walnut Street,30566
257,Oakwood,Spirit of Joy/FWC Food Pantry,(678) 971-5297,Georgia,5004 Mcever Rd,30566
258,Odum,God\'s Grace Clothes Closet and Food Pantry,912-586-6812,Georgia,608 S. Main Street,31555
259,Maysville,Helping Hands Ministry,(706) 652-2228,Georgia,8875 Hwy 82 Spur,30558
260,Newnan,One Roof Ecumenical Alliance Outreach,770-683-7705,Georgia,Empty,30263
261,Newnan,Bridging the Gap,(770)683-9110,Georgia,19 First Ave.,30263
262,Peachtree,Real Life Center,770-631-9334,Georgia,220 Parkade Ct Suite A,30269
263,Pooler,Loaves & Fishes Interfaith Food Ministry,(912) 349-4881,Georgia,Empty,31322
264,Ocala,His Compassion,352-575-8745,Georgia,3947 North Hwy 441,34475
265,Powder,Greater True Vine Church of God in Christ,404-397-7914,Georgia,4122 Austell Powder Springs Rd.,30127
266,Pearson,Concerted Services - Atkinson County Service Center,912-285-6083,Georgia,636 Austin Ave Ste. 2,31642
267,Richmond,Richmond Hill United Methodist Church - WAY Station,(912) 756-2190,Georgia,9050 Ford Avenue,31324
268,Reidsville,Concerted Services - Tattnall County Service Center,912-285-6083,Georgia,144 W. Brazell St.,30453
269,Quitman,United Methodist Church of Quitman,229-263-8622,Georgia,501 E. Screven St.,31643
270,Rockmart,Helping Hands Ministries,(770) 684-0038,Georgia,107 Church St,30153
271,Rockmart,The Storehouse - Rockmart,(770) 684-4070,Georgia,510 North Piedmont Ave,30153
272,Rome,Bagwell Pantry - Action Ministries in Rome,706-291-7731,Georgia,207 East 19th Street,30161
273,Rincon,Manna House Ministries,912-826-2037,Georgia,1210 Patriot Dr.,31326
274,Royston,Rainbow Pantry,(706) 245-0965,Georgia,191 Campbell St,30662
275,Roswell,North Fulton Community Charities,770-640-0399,Georgia,11270 Elkins Rd.,30076
276,Riverdale,Hearts to Nourish Hope,(770) 997-4511,Georgia,640 Highway 138 SW,30296
277,Riverdale,Catherine's House - First Fruits Thrift Store,678-216-0553,Georgia,6509 Hwy. 85,30274
278,Sandersville,Christian Life Center of Washington county,,Georgia,310 East Church Street,31082
279,Sandy,Community Action Center,(770) 552-4015,Georgia,1130 Hightower Tr.,30350
280,Savannah,Wesley Community Centers of Savannah,912-236-4226,Georgia,1601 Drayton St.,31401
281,Savannah,St Paul CME Church,912-233-2849,Georgia,1601 Barnard St.,31401
282,Savannah,St Paul's Episcopal Church Food Pantry,912-232-0274,Georgia,1802 Abercon St.,31401
283,Savannah,St Joseph's Health System - St Mary's Community Center,912-447-0578,Georgia,812 W. 36 St.,31415
284,Savannah,Social Apostolate of Savannah,912-233-1877,Georgia,502 E. Liberty St.,31412
285,Savannah,Second Arnold Baptist Church,912-234-5500,Georgia,1427 East 37 St.,31404
286,Savannah,Savannah Baptist Center,912-232-1033,Georgia,704 Wheaton St.,31401
287,Savannah,Masjid Jihad,912-236-7387,Georgia,117 E. 34th St.,31401
288,Savannah,Leep,912-233-9767,Georgia,515 Montgomery St.,31401
289,Savannah,First Bryan Baptist Church,912-232-5526,Georgia,575 West Bryan St.,31401
290,Savannah,Old Savannah City Mission,912-232-1979,Georgia,2414 Bull St.,31401
291,Savannah,Union Mission Savannah,(912) 238-2777,Georgia,107 fahm st,31401
292,Savannah,Mid-Town Neighborhood Association,(912) 220-7422,Georgia,621 E. 35th St.,31401
293,Savannah,The Salvation Army Savannah,(912) 651-7420,Georgia,3100 Montgomery St.,31405
294,Scottdale,H.P. Taylor Brotherhood,(404) 401-6162,Georgia,679 Glendale  road,30079
295,Scottdale,Calvary Grove Baptist Church Food Pantry,(404) 292-2141,Georgia,3167 Zion Street,30079
296,Snellville,Overcomers House Inc.,(678) 575-6608,Georgia,2100 Fountain Square,30078
297,Snellville,Hope and Life Compassion Ministry Food Bank,(770) 979-1595,Georgia,3594 Centerville Hwy,30039
298,Smyrna,MUST Marietta - Ministries United for Service and Training,770-436-9514,Georgia,460 Pat Mell Rd.,30080
299,Springfield,Concerted Services - Effingham County Service Center,912-754-6910,Georgia,768 Highway 119 South,31329
300,Springfield,God's Mission House,912-754-0840,Georgia,1435 Hwy. 119 N.,31329
301,Sparta,Hancock Helping Hands Crisis Relief,706-444-1264,Georgia,75 Old L. S Inghram Road,31087
302,Sparta,SWAH Empowerment Inc,(706) 444-6052,Georgia,12706 East Broad Street,31087
303,Statenville,Coastal Plain Area Economic Opportunity Authority - Ec,229-559-3472,Georgia,170 Church of God St.,31648
304,Statesboro,"The Food Bank, Inc. ",(912) 489-3663,Georgia,400 Donnie Simmons Way,30458
305,Statesboro,Elijah Food Bank,912-489-2228,Georgia,227 Institute Street,30458
306,Statesboro,Area Christians Together In Service,912-489-4588,Georgia,515 Denmark St.,30458
307,Stockbridge,"Helping In His Name Ministries, Inc.name-ministries-inc_xxs.jpg",678-565-6135,Georgia,"85 Bellamy Place, Suite A",30281
308,Stockbridge,Samaritans Together of Henry County,(678) 565-6526,Georgia,65 Bellamy Place,30281
309,Statesboro,Concerted Services - Bulloch County Service Center,912-285-6083,Georgia,515 Denmark St Ste. 1400,30459
310,Stockbridge,Feed My People,678-565-7800,Georgia,6045 N. Henry Blvd Ste. C,30281
311,Stockbridge,Families Helping Families @ Eastside,(678) 902-4001,Georgia,4010 Hwy 138 SW,30281
312,Stone,ICNA Relief Food Pantry,770 300 0067,Georgia,"6200 Memorial Drive, Suite J",30083
313,Tucker,NETWorks Cooperative Ministry,770-939-6454,Georgia,2380 4th Street,30084
314,Stone,Joseph's Storehouse,(404) 826-9316,Georgia,6788 Rockbridge Road,30087
315,Stone,Baitul Salaam,770-255-8500,Georgia,330 Memorial Dr. Suite 5,30288
316,Sylvania,Johnson Grove Bapt Church,912-829-4679,Georgia,353 Johnson Grove Rd,30467
317,Sylvania,"Screven County Community Collaborative, Inc.",(912) 564-1160,Georgia,205 Mims Road,30467
318,Thomson,McDuffie County Partner Manna,706-595-3138,Georgia,451 East Hill Street,30824
319,Thomson,Thankful Baptist- Glascock,(706) 465-9184,Georgia,7725 Thankful Church Road,30824
320,Union,Springfield Baptist Church,(706) 456-2711,Georgia,1320 Springfield Rd,30669
321,Valdosta,Second Harvest Food Bank Of Valdosta Fax Line,(229) 244-3663,Georgia,1411 Harbin Cir,31601
322,Valdosta,America's Second Harvest of South Georgia,(229) 244-2678,Georgia,1411 Harbin Circle,31601
323,Valdosta,Lowndes Associated Ministries and People,(229) 245-7157,Georgia,714 Charlton Street,31601
324,Valdosta,Harvest Church of God,229-559-7748,Georgia,6163 Clyattville Lake Park Rd.,31601
325,Valdosta,Coastal Plain Area Economic Opportunity Authority,229-244-7860,Georgia,2601 Bemiss Rd.,31601
326,Villa,Fullerville Mission Ltd.,770-456-9619,Georgia,531 Rockmart Rd.,30180
327,Vidalia,God's Store House Food And Clothing Bank,(912) 538-1730,Georgia,300 Mcintosh St,30474
328,Vidalia,Concerted Services - Toombs County Service Center,912-285-6083,Georgia,107 Old Airport Rd.,30474
329,waleska,Least of These ministries ,(770) 547-4045,Georgia,8889 Fincher road ,30183
330,Waleska,"Least of These Ministries, Inc. ",(770) 547-4045,Georgia,"8871 Fincher Road, suite A",30183
331,Washington,Harvest Time Christian Center,706-401-9074,Georgia,317 N By Pass East,30673
332,Washington,Washington COG - Stephens House,(706) 678-5123,Georgia,1365 Tignall Rd,30673
333,Washington,Washington Seventh Day Adventist,(706) 678-4454,Georgia,1036 Lexington Road,30673
334,Waycross,Concerted Services - Ware County Service Center,912-283-8634,Georgia,1303 Gilmore St.,31501
335,Warner,All Saints Episcopal Church,(478) 923-1791,Georgia,1708 Watson Boulevard,31093
336,Waycross,Concerted Services,912-285-6083,Georgia,2100 Riverside Ave,31501
337,Waycross,CrossView Church,9122853483,Georgia,709 Garlington Avenue,31501
338,Winston,New Mountain Top Baptist Church,770-489-8410,Georgia,7822 Conners Rd.,30187
339,Winston,Old Mountain Top Food Pantry,(770) 942-7337,Georgia,2471 Mountain Top Rd,30187
340,Waynesboro,Noahs Ark Church  Beyond the Ark,(706) 554-4981,Georgia,4466 Hwy 80 West,30830
341,Waynesboro,Phillip Grove Baptist Church,706-871-7271,Georgia,2015 Herndon Road,30830
342,Waynesboro,Roberson Grove Baptist Church,(706) 437-9981,Georgia,985 Hwy 24 West,30830
343,West,West Green Baptist Church,912-383-5800,Georgia,9761 Us Highway 221 N,31567
344,Woodbine,Woodbine United Methodist Church Food Pantry,912-576-5457,Georgia,405 Bedell Ave,31569
345,Woodstock,Timothy Lutheran Church - Timothy\'s Cupboard,770-928-2812,Georgia,556 Arnold Mill Rd.,30188
346,Woodstock,Papa's Pantry,770-591-4730,Georgia,6551 Commerce Pkwy. Ste. 200,30189
347,Woodstock,Bascomb Mission Thrift Food Pantry,678-324-7937,Georgia,9550 Main Street Suite #170,30189
348,Woodstock,Never Alone Food Pantry & Clothing Outreach,770-363-5272,Georgia,291 Rope Mill Road,30188
349,Young,Towns County Food Pantry,(706) 896-4783,Georgia,1294 Jack Dayton Circle,30546
350,Young,Ninth District Opportunity - Towns County Community Re,706-896-4783,Georgia,1294 Jack Dayton Cir.,30582
351,Wrens,Wrens Church of God,(706) 547-7200,Georgia,102 Phillips Street,30833
0,Haleiwa,North Shore Christian Fellowship Fresh Produce Distribution,808-637-6353,Hawaii,Empty,96712
1,Haleiwa,North Shore Christian Fellowship North Shore Community Foodb,808-637-6225,Hawaii,Empty,96712
2,Haleiwa,Once A Month Church North Shore Food Bank,808-637-3138,Hawaii,Empty,96712
3,Eleele,Eleele Baptist Church,808-332-5906,Hawaii,339 Mehana Road,96705
4,Aiea,Aiea Seventh-day Adventist Church,808-488-9855,Hawaii,99 Moanalua Road,96701
5,Hana,Feed My Sheep,808-870-9421,Hawaii,Empty,96713
6,Ewa,Ewa Beach UMC Loaves and Fishes,808-689-0153,Hawaii,Empty,96706
7,Ewa,Ewa Beach Baptist Church,808-689-8888,Hawaii,Empty,96706
8,Haiku,Feed My Sheep,808-870-9421,Hawaii,655 Haiku Road,96708
9,Hanapepe,Salvation Army - Hanapepe Corps,808-335-5441,Hawaii,4465 Puolo Road,96716
10,Hauula,Kama Lama Lama O Keao Church,808-293-5411,Hawaii,Empty,96717
11,Hauula,Greater Mount Zion Holiness Church,808-293-2261,Hawaii,Empty,96717
12,Holualoa,Office for Social Ministry,(808) 322-7373,Hawaii,Empty,96725
13,Hilo,Under His Wings Ministry,808-969-3094,Hawaii,111 Wainuhe Place,96720
14,Hilo,Salvation Army - Hilo Corps,808-935-1277,Hawaii,219 Ponahawai Street,96720
15,Hilo,Glad Tidings Assembly of God,(808) 961-061,Hawaii,116 Kapiolani Street,96720
16,Hilo,Glad Tidings Assembly of God,808-961-0616,Hawaii,116 Kapiolani Street,96720
17,Honokaa,Salvation Army - West Hawaii Outpost,808-775-7346,Hawaii,Empty,96727
18,Honokaa,Our Lady of Lourdes Church Food Pantry,808-775-9591,Hawaii,Empty,96727
19,Kahului,Maui Food Bank - Kahului,,Hawaii,330 Hoohana St,96733
20,Kahului,Salvation Army - Kahului Corps Family Services,808-877-6757,Hawaii,45 W. Kamehameha Avenue,96732
21,Kahului,Family Life Center Food Pantry,808-877-0880,Hawaii,95 S Kane Avenue,96732
22,Kahului,Christ the King Outreach Pantry,,Hawaii,20 West Wakea Avenue,96732
23,Honolulu,Waikiki Community Center Emergency Food Pantry,808-923-1802,Hawaii,310 Paoakalani Avenue,96815
24,Honolulu,Susannah Wesley Community Center,808-847-1535,Hawaii,1117 Kaili Street,96819
25,Honolulu,Sts. Peter and Paul Catholic Church,808-941-0675,Hawaii,800 Kaheka Street,96814
26,Honolulu,St Pius X Church Outreach,808-988-3308,Hawaii,2821 Lowrey Avenue,96822
27,Honolulu,River of Life Mission,808-524-7656,Hawaii,101 N Pauahi Street,96817
28,Honolulu,Saint Elizabeth's Church,(808) 284-2112,Hawaii,720 North King Street,96817
29,Honolulu,Palama Settlement,808-845-3945,Hawaii,810 N Vineyard Boulevard,96817
30,Honolulu,Parish of St Clement,808-955-7745,Hawaii,1515 Wilder Avenue,96822
31,Honolulu,Our Lady of the Mount - Kokua Ministry,808-845-0828,Hawaii,1614 Monte Street,96819
32,Honolulu,Olivet Baptist Church,808-946-6505,Hawaii,1775 S Beretania St,96826
33,Honolulu,New Life United Pentecostal Church,808-623-4300,Hawaii,20 Bouganville Drive,96818
34,Kalaheo,Kalaheo Missionary Church,808-332-9916,Hawaii,4480 Hokua Road,96741
35,Honolulu,Kaumakapili Church,808-845-0908,Hawaii,766 N King Street,96817
36,Honolulu,Honolulu Church of God,808-949-4995,Hawaii,822 Coolidge Street,96826
37,Honolulu,Full Gospel Temple,808-780-7861,Hawaii,2464 North School Street,96819
38,Honolulu,Angel Network Charities,808-377-1841,Hawaii,5339 Kalanianaole Hwy,96824
39,Honolulu,Surfing the Nations - Send Hope,808-622-6234,Hawaii,1542 Kam IV Road,96819
40,Honolulu,Taiheiyo Church Sunrise Food Pantry,(808) 949-1610,Hawaii,844 Wiliwili Street,96826
41,Kailua,St Anthony's Outreach,808-266-2227,Hawaii,114 Makawao Street,96734
42,Kailua,Harbor House Inc,808-261-1017,Hawaii,1341 Aunauna Street,96734
43,Kailua,Windward United Church of Christ,808-254-3802,Hawaii,38 Kaneohe Bay Drive,96734
44,Kailua,Hope Chapel Olomana,808-262-8021,Hawaii,1020 Keolu Drive,96734
45,Kailua,St Anthony's Outreach,808-266-2227,Hawaii,114 Makawao Street,96734
46,Kailua,Harbor House Inc,808-261-1017,Hawaii,1341 Aunauna Street,96734
47,Kailua,Windward United Church of Christ,808-254-3802,Hawaii,38 Kaneohe Bay Drive,96734
48,Kailua,Hope Chapel Olomana,808-262-8021,Hawaii,1020 Keolu Drive,96734
49,Kaneohe,St Ann's Catholic Church,(808) 247-3092,Hawaii,Empty,96744
50,Kaneohe,Salvation Army - Kaneohe Corps,808-235-1408,Hawaii,Empty,96744
51,Kaneohe,Kualoa-heeia Ecumenical Youth Project,808-239-5777,Hawaii,Empty,96744
