Name,Address,City_State_Zip,Phone_Number,Web_Address
Chattanooga Area Food Bank,2009 Curtain Pole Road,"Chattanooga, TN 37406",423.622.1800,www.chattfoodbank.org
Second Harvest Food Bank of Northeast Tennessee,1020 Jericho Drive,"Kingsport, TN 37663",423.279.0430,www.netfoodbank.org
Second Harvest Food Bank of East Tennessee,136 Harvest Lane,"Maryville, TN 37801",865.521.0000,secondharvestetn.org
Mid-South Food Bank,239 S. Dudley Street,"Memphis, TN 38104",901.527.0841,www.midsouthfoodbank.org
Second Harvest Food Bank of Middle Tennessee,331 Great Circle Road,"Nashville, TN 37228",615.329.3491,www.secondharvestmidtn.org
Food Bank of West Central Texas,5505 N. First,"Abilene, TX 79603",325.695.6311,www.fbwct.org
High Plains Food Bank,815 S. Ross PO Box 31803,"Amarillo, TX 79120",806.374.8562,www.hpfb.org
Central Texas Food Bank,6500 Metropolis Drive,"Austin, TX 78744",512.282.2111,www.centraltexasfoodbank.org/
Southeast Texas Food Bank,3845 Martin Luther King Parkway P O Box 21012,"Beaumont, TX 77705",409.839.8777,setxfoodbank.org
Coastal Bend Food Bank,826 Krill St.,"Corpus Christi, TX 78408",361.887.6291,coastalbendfoodbank.org/
North Texas Food Bank,4500 S. Cockrell Hill Road,"Dallas, TX 75236",214.330.1396,www.ntfb.org
El Pasoans Fighting Hunger,9541 Plaza Circle,"El Paso, TX 79927",915.298.0353,www.elpasoansfightinghunger.org/
Tarrant Area Food Bank,2600 Cullen,"Ft. Worth, TX 76107",817.332.9177,www.tafb.org
Houston Food Bank,535 Portwall Street,"Houston, TX 77029",713.223.3700,www.HoustonFoodBank.org
Brazos Valley Food Bank,1514 Shiloh Ave,"Bryan, TX 77803",979.779.3663,http://www.bvfb.org/
Montgomery County Food Bank,One Food For Life Way,"Conroe, TX 77385",936.539.6686,http://www.mcfoodbank.org
Galveston County Food Bank,624 4th Ave. N.,"Texas City, TX 77590",409.945.4232,http://www.galvestoncountyfoodbank.org/
South Texas Food Bank,1907 Freight,"Laredo, TX 78041",956.726.3120,www.southtexasfoodbank.org/
South Plains Food Bank,5605 MLK Boulevard,"Lubbock, TX 79404",806.763.3003,www.spfb.org
Concho Valley Regional Food Bank ,PO Box 1207 ,"San Angelo , TX 76902",325.655.3231,http://www.conchovalleyfoodbank.org/
West Texas Food Bank,411 S. Pagewood Ave.,"Odessa, TX 79761",432.580.6333,www.wtxfoodbank.org
"Food Bank of the Rio Grande Valley, Inc.",724 N. Cage Blvd.,"Pharr, TX 78577",956.682.8101,www.foodbankrgv.com
San Antonio Food Bank,5200 Enrique M Barrera Pkwy,"San Antonio, TX 78227",210.337.3663,www.safoodbank.org
East Texas Food Bank,3201 Robertson Road,"Tyler, TX 75701",903.597.3663,EastTexasFoodBank.org
Food Bank of the Golden Crescent,3809 E. Rio Grande P.O.Box 5085,"Victoria, TX 77901",361.578.0591,www.tfbgc.org
Wichita Falls Area Food Bank,1230 Midwestern Parkway PO Box 623,"Wichita Falls, TX 76307",940.766.2322,www.wfafb.org
Utah Food Bank,3150 South 900 West,"Salt Lake City, UT 84119",801.978.2452,www.utahfoodbank.org
Fredericksburg Regional Foodbank,3631 Lee Hill Drive PO Box 1006,"Fredericksburg, VA 22408",540.371.7666,www.fredfood.org
Virginia Peninsula Foodbank,2401 Aluminum Avenue,"Hampton, VA 23661",757.596.7188,www.hrfoodbank.org
Foodbank of Southeastern Virginia,800 Tidewater Drive PO Box 1940,"Norfolk, VA 23504",757.627.6599,www.foodbankonline.org
FeedMore,1415 Rhoadmiller Street,"Richmond, VA 23220",804.521.2500,www.feedmore.org
Feeding America Southwest Virginia,1025 Electric Road,"Salem, VA 24153",540.342.3011,www.faswva.org
"Blue Ridge Area Food Bank, Inc.",96 Laurel Hill Road P.O. Box 937,"Verona, VA 24482",540.248.3663,www.brafb.org
Vermont Foodbank,33 Parker Road,"Barre, VT 05641",802.476.3341,www.vtfoodbank.org/
Food Lifeline,815 South 96th Street,"Seattle, WA 98108",206.545.6600,www.foodlifeline.org
Second Harvest Inland Northwest,1234 E. Front Avenue,"Spokane, WA 99202",509.534.6678,www.2-harvest.org
Second Harvest Foodbank of Southern Wisconsin,2802 Dairy Drive,"Madison, WI 53718",608.223.9121,www.secondharvestmadison.org
Feeding America Eastern Wisconsin,1700 W. Fond Du Lac Avenue,"Milwaukee, WI 53205",414.931.7400,www.feedingamericawi.org/
Mountaineer Food Bank,484 Enterprise Drive,"Gassaway, WV 26624",304.364.5518,www.mountaineerfoodbank.org
Facing Hunger Foodbank,1327 Seventh Avenue,"Huntington, WV 25701",304.523.6029,facinghunger.org
